function_name,duration,high_res_duration
ComputeKeyPointsOctTree,14636751,14636771
GaussianBlur,139056,139106
computeDescriptors,5545357,5545397
GaussianBlur,87407,87447
computeDescriptors,5569013,5569053
GaussianBlur,87777,87808
computeDescriptors,4678170,4678200
GaussianBlur,89341,89361
computeDescriptors,4681466,4681627
GaussianBlur,74022,74072
computeDescriptors,3822604,3822645
GaussianBlur,59484,59514
computeDescriptors,3823406,3823446
GaussianBlur,64693,64723
computeDescriptors,3173255,3173285
GaussianBlur,57149,57179
computeDescriptors,3154589,3154629
GaussianBlur,53271,53291
computeDescriptors,2607292,2607312
GaussianBlur,51899,51939
computeDescriptors,2609436,2609476
GaussianBlur,55786,55816
computeDescriptors,2172562,2172602
GaussianBlur,47180,47210
computeDescriptors,2173824,2173854
GaussianBlur,48773,48803
computeDescriptors,1814277,1814297
GaussianBlur,40578,40618
computeDescriptors,1814828,1814868
GaussianBlur,46869,46889
computeDescriptors,1513943,1513973
computeDescriptors,1506870,1506900
Track,429287791,429287981
GrabImageStereo,478239918,478240009
ComputePyramid,707171,707332
ComputePyramid,937882,938032
DistributeOctTree,1555562,1555592
DistributeOctTree,1555322,1555433
DistributeOctTree,1050147,1050187
DistributeOctTree,1053954,1053984
DistributeOctTree,736567,736597
DistributeOctTree,758911,758951
DistributeOctTree,527358,527398
DistributeOctTree,538619,538659
DistributeOctTree,375758,375798
DistributeOctTree,373654,373704
DistributeOctTree,265698,265738
DistributeOctTree,271999,272030
DistributeOctTree,205062,205092
DistributeOctTree,197227,197267
DistributeOctTree,157591,157621
DistributeOctTree,160086,160136
computeOrientation,538499,538529
computeOrientation,554219,554249
computeOrientation,446182,446213
computeOrientation,456322,456362
computeOrientation,372753,372773
computeOrientation,372562,372592
computeOrientation,309241,309221
computeOrientation,257282,257302
computeOrientation,308529,308550
computeOrientation,213879,213889
computeOrientation,257241,257271
computeOrientation,176567,176587
computeOrientation,212346,212376
computeOrientation,148794,148804
ComputeKeyPointsOctTree,13810843,13810873
computeOrientation,177479,177519
GaussianBlur,130440,130490
computeOrientation,172990,173020
ComputeKeyPointsOctTree,14339753,14339783
GaussianBlur,133174,133205
computeDescriptors,5513776,5513826
GaussianBlur,83470,83510
computeDescriptors,5510490,5510510
GaussianBlur,86656,86696
computeDescriptors,4608027,4608067
GaussianBlur,78110,78160
computeDescriptors,4731483,4731653
GaussianBlur,81766,81836
computeDescriptors,3834688,3834728
GaussianBlur,64653,64684
computeDescriptors,3953113,3953274
GaussianBlur,79753,79863
computeDescriptors,3134179,3134209
GaussianBlur,54544,54574
computeDescriptors,3183554,3183584
GaussianBlur,54023,54053
computeDescriptors,2647759,2647780
GaussianBlur,57079,57109
computeDescriptors,2628613,2628643
GaussianBlur,55486,55536
computeDescriptors,2279267,2279297
GaussianBlur,72168,72218
computeDescriptors,2339552,2339612
GaussianBlur,56798,56848
computeDescriptors,1853953,1853993
GaussianBlur,41760,41810
computeDescriptors,1798747,1798798
GaussianBlur,45287,45317
computeDescriptors,1531897,1531927
computeDescriptors,1532929,1532969
Track,545791039,545791230
GrabImageStereo,594654848,594654878
ComputePyramid,631878,631958
ComputePyramid,746988,747208
DistributeOctTree,1541606,1541646
DistributeOctTree,1702724,1702824
DistributeOctTree,1014048,1014088
DistributeOctTree,1048443,1048474
DistributeOctTree,733481,733522
DistributeOctTree,805529,805629
DistributeOctTree,534812,534852
DistributeOctTree,547907,547947
DistributeOctTree,364947,364978
DistributeOctTree,268453,268483
DistributeOctTree,368986,369016
DistributeOctTree,200413,200454
DistributeOctTree,270507,270547
DistributeOctTree,162000,162039
DistributeOctTree,202287,202326
computeOrientation,587593,587623
DistributeOctTree,153163,153203
computeOrientation,458396,458436
computeOrientation,639923,639963
computeOrientation,377862,377882
computeOrientation,318438,318448
computeOrientation,558187,558226
computeOrientation,269014,269034
computeOrientation,224559,224569
computeOrientation,454899,454929
computeOrientation,182319,182349
computeOrientation,148544,148554
ComputeKeyPointsOctTree,13715209,13715240
computeOrientation,365428,365448
GaussianBlur,134136,134186
computeOrientation,322026,322056
computeOrientation,237784,237814
computeOrientation,201405,201435
computeOrientation,155568,155608
ComputeKeyPointsOctTree,14851882,14851892
GaussianBlur,119297,119348
computeDescriptors,5573199,5573229
GaussianBlur,83901,83931
computeDescriptors,5524316,5524366
GaussianBlur,78540,78570
computeDescriptors,4612806,4612836
GaussianBlur,75534,75584
computeDescriptors,4601805,4601835
GaussianBlur,71917,71947
computeDescriptors,3830720,3830760
GaussianBlur,66487,66518
computeDescriptors,3829598,3829658
GaussianBlur,68571,68622
computeDescriptors,3160099,3160139
GaussianBlur,55316,55346
computeDescriptors,3160060,3160099
GaussianBlur,55787,55817
computeDescriptors,2631941,2631971
GaussianBlur,56768,56798
computeDescriptors,2654824,2654874
GaussianBlur,53623,53653
computeDescriptors,2216375,2216395
GaussianBlur,45016,45046
computeDescriptors,2202399,2202428
GaussianBlur,49384,49414
computeDescriptors,1821291,1821331
GaussianBlur,47130,47170
computeDescriptors,1841950,1841990
GaussianBlur,43473,43503
computeDescriptors,1522409,1522469
computeDescriptors,1534522,1534562
Track,411578578,411578849
