function_name,duration,high_res_duration
computeDescriptors,1785275,1785295
GaussianBlur,40306,40356
computeDescriptors,1500560,1500590
computeDescriptors,1506710,1506731
Track,591945903,591946164
GrabImageStereo,641960905,641961005
ComputePyramid,663186,663297
ComputePyramid,899370,899480
DistributeOctTree,1511269,1511329
DistributeOctTree,1529994,1530024
DistributeOctTree,1020197,1020236
DistributeOctTree,1025777,1025807
DistributeOctTree,729651,729681
DistributeOctTree,739729,739759
DistributeOctTree,530767,530787
DistributeOctTree,531278,531308
DistributeOctTree,376317,376347
DistributeOctTree,367230,367250
DistributeOctTree,267843,267873
DistributeOctTree,265579,265609
DistributeOctTree,207209,207229
DistributeOctTree,203462,203482
DistributeOctTree,155101,155121
DistributeOctTree,150983,151003
computeOrientation,560473,560563
computeOrientation,583837,583917
computeOrientation,328267,328347
computeOrientation,353123,353224
computeOrientation,322766,322846
computeOrientation,304372,304431
computeOrientation,267652,267723
computeOrientation,274115,274186
computeOrientation,293341,293421
computeOrientation,291257,291337
computeOrientation,285236,285306
computeOrientation,283853,283923
computeOrientation,282501,282601
computeOrientation,310303,310383
computeOrientation,260880,260960
ComputeKeyPointsOctTree,14358325,14358355
computeOrientation,242646,242746
ComputeKeyPointsOctTree,14154552,14154572
GaussianBlur,140173,140253
GaussianBlur,347212,347253
computeDescriptors,5559284,5559374
computeDescriptors,5403381,5403431
GaussianBlur,81102,81162
GaussianBlur,66745,66795
computeDescriptors,4581827,4581857
GaussianBlur,78858,78918
computeDescriptors,4595533,4595553
GaussianBlur,64772,64842
computeDescriptors,3853590,3853600
GaussianBlur,59532,59592
computeDescriptors,3841748,3841768
GaussianBlur,60845,60875
computeDescriptors,3171808,3171828
GaussianBlur,56055,56085
computeDescriptors,3141721,3141762
GaussianBlur,51356,51436
computeDescriptors,2608210,2608240
GaussianBlur,53501,53561
computeDescriptors,2597721,2597771
GaussianBlur,124454,124494
computeDescriptors,2169537,2169556
GaussianBlur,49303,49363
computeDescriptors,2179165,2179184
GaussianBlur,44653,44683
computeDescriptors,1824668,1824688
GaussianBlur,41989,42069
computeDescriptors,1811394,1811424
GaussianBlur,130755,130826
computeDescriptors,1504176,1504196
computeDescriptors,1501311,1501330
Track,519731404,519731675
GrabImageStereo,569414093,569414112
ComputePyramid,703021,703121
ComputePyramid,959292,959433
DistributeOctTree,1524384,1524454
DistributeOctTree,1533110,1533170
DistributeOctTree,1044422,1044442
DistributeOctTree,1041416,1041486
DistributeOctTree,746141,746172
DistributeOctTree,727267,727287
DistributeOctTree,531138,531168
DistributeOctTree,522161,522181
DistributeOctTree,370406,370426
DistributeOctTree,368772,368793
DistributeOctTree,265048,265068
DistributeOctTree,266851,266882
DistributeOctTree,192863,192893
DistributeOctTree,201829,201859
DistributeOctTree,155852,155883
DistributeOctTree,157516,157526
computeOrientation,2041425,2041525
computeOrientation,1888167,1888267
computeOrientation,348024,348104
computeOrientation,357061,357161
computeOrientation,328727,328798
computeOrientation,354426,354526
computeOrientation,274556,274626
computeOrientation,323938,324049
computeOrientation,294704,294794
computeOrientation,235072,235141
computeOrientation,277922,278002
computeOrientation,317937,318018
computeOrientation,269376,269476
computeOrientation,268965,269045
computeOrientation,263816,263886
ComputeKeyPointsOctTree,15510400,15510410
computeOrientation,231265,231345
ComputeKeyPointsOctTree,15283794,15283804
GaussianBlur,134994,135064
GaussianBlur,351471,351540
computeDescriptors,5476117,5476158
computeDescriptors,5330083,5330113
GaussianBlur,87545,87615
GaussianBlur,63529,63589
computeDescriptors,4600453,4600473
computeDescriptors,4604652,4604682
GaussianBlur,201929,201990
GaussianBlur,66886,66976
computeDescriptors,3745045,3745065
computeDescriptors,3845013,3845083
GaussianBlur,63880,63940
GaussianBlur,60895,60955
computeDescriptors,3155488,3155508
computeDescriptors,3163584,3163624
GaussianBlur,125596,125656
GaussianBlur,51957,52018
computeDescriptors,2572443,2572473
GaussianBlur,54282,54342
computeDescriptors,2604423,2604503
GaussianBlur,51847,51907
computeDescriptors,2170228,2170338
GaussianBlur,47128,47198
computeDescriptors,2167653,2167683
computeDescriptors,1811363,1811393
GaussianBlur,71985,72015
computeDescriptors,1551164,1551194
GaussianBlur,4335034,4335104
computeDescriptors,1817755,1817785
GaussianBlur,45846,45886
computeDescriptors,1526268,1526288
Track,470470407,470470578
GrabImageStereo,525357283,525357303
ComputePyramid,1301385,1302117
ComputePyramid,1697719,1697880
DistributeOctTree,2408916,2409126
DistributeOctTree,2356287,2356537
DistributeOctTree,1613341,1613491
DistributeOctTree,1553498,1553659
DistributeOctTree,1234740,1235061
DistributeOctTree,1201828,1201959
DistributeOctTree,895252,895392
DistributeOctTree,875094,875214
DistributeOctTree,596620,596731
DistributeOctTree,596110,596170
DistributeOctTree,433083,433133
DistributeOctTree,427553,427603
DistributeOctTree,323688,323718
DistributeOctTree,314952,314972
DistributeOctTree,232857,232887
DistributeOctTree,247275,247315
computeOrientation,1070270,1070420
computeOrientation,1069529,1069639
computeOrientation,678876,678966
computeOrientation,872890,873000
computeOrientation,636836,636927
computeOrientation,854566,854645
computeOrientation,584077,584178
computeOrientation,777621,777712
computeOrientation,566845,566946
computeOrientation,520809,520909
computeOrientation,467187,467308
computeOrientation,763104,763204
computeOrientation,508415,508505
computeOrientation,501642,501742
computeOrientation,479190,479290
ComputeKeyPointsOctTree,23954763,23954783
computeOrientation,476946,477046
ComputeKeyPointsOctTree,23701948,23701968
GaussianBlur,523794,523854
GaussianBlur,525277,525317
computeDescriptors,5773337,5773397
computeDescriptors,6144575,6144645
GaussianBlur,317236,317257
GaussianBlur,315122,315152
computeDescriptors,4593479,4593579
GaussianBlur,87334,87394
computeDescriptors,4615270,4615290
GaussianBlur,296467,296537
computeDescriptors,3984085,3984276
GaussianBlur,102042,102122
computeDescriptors,3987622,3987852
computeDescriptors,4149535,4149706
GaussianBlur,149280,149331
GaussianBlur,5035760,5035901
computeDescriptors,2738264,2738355
GaussianBlur,216336,216396
computeDescriptors,3398185,3398364
GaussianBlur,223911,223961
computeDescriptors,2323826,2323857
GaussianBlur,154119,154149
computeDescriptors,2771497,2771667
computeDescriptors,1927572,1927592
GaussianBlur,152747,152857
GaussianBlur,244048,244118
computeDescriptors,1581402,1581522
computeDescriptors,2424585,2424726
GaussianBlur,91973,92073
computeDescriptors,1962657,1963198
GaussianBlur,84980,85100
computeDescriptors,1642556,1642686
Track,738084661,738085012
GrabImageStereo,811949622,811949631
ComputePyramid,706828,706958
ComputePyramid,904108,904228
DistributeOctTree,1566002,1566072
DistributeOctTree,1523332,1523422
DistributeOctTree,1008465,1008535
DistributeOctTree,1024806,1024846
DistributeOctTree,728829,728909
DistributeOctTree,729941,730021
DistributeOctTree,548791,548861
DistributeOctTree,524715,524795
DistributeOctTree,393018,393108
DistributeOctTree,373852,373922
DistributeOctTree,269917,269938
DistributeOctTree,267072,267092
DistributeOctTree,202430,202460
DistributeOctTree,199896,199926
DistributeOctTree,151985,152006
DistributeOctTree,151114,151144
computeOrientation,638820,638930
computeOrientation,701849,701999
computeOrientation,349236,349316
computeOrientation,402887,402957
computeOrientation,349246,349306
computeOrientation,313629,313719
computeOrientation,322416,322505
computeOrientation,337574,337654
computeOrientation,326083,326133
computeOrientation,315844,315924
